cityName,cloudiness,country,humidity,lat,lng,temp,winds
gobabis,0,na,59,-22.45,18.97,37.02,4.14
nadym,48,ru,100,65.53,72.51,56.01,11.97
santa cruz,90,us,72,36.97,-122.03,74.98,8.05
hobart,40,au,70,-42.88,147.33,48.2,10.29
pevek,24,ru,92,69.7,170.27,35.49,4.36
jamestown,88,sh,94,-33.21,138.6,39.99,4.36
nikolskoye,20,ru,87,59.7,30.79,53.6,6.71
carnarvon,0,au,71,-30.97,22.13,30.63,7.49
dikson,8,ru,97,73.51,80.55,34.41,8.28
fortuna,0,us,78,38.18,-1.13,75.2,9.17
rensvik,92,no,87,63.1,7.82,53.82,11.41
vila franca do campo,75,pt,72,37.72,-25.43,68.0,5.82
bud,75,no,82,62.91,6.91,52.93,9.17
albany,75,au,73,42.65,-73.75,73.4,4.7
neftcala,0,az,73,39.37,49.25,74.37,10.4
talnakh,44,ru,78,69.49,88.39,58.98,7.61
sri aman,80,my,100,1.24,111.46,73.4,2.68
new norfolk,40,au,70,-42.78,147.06,48.2,10.29
butaritari,36,ki,100,3.07,172.79,82.29,9.62
ushuaia,90,ar,100,-54.81,-68.31,32.0,2.24
kiunga,44,pg,93,-6.12,141.3,75.63,2.91
cotonou,40,bj,88,6.37,2.43,77.0,6.93
sisimiut,76,gl,100,66.94,-53.67,31.44,1.23
puerto ayora,75,ec,69,-0.74,-90.35,77.0,16.11
tevriz,24,ru,97,57.51,72.4,56.91,5.37
mataura,92,pf,100,-46.19,168.86,40.44,16.44
nanhai,20,cn,83,30.13,111.78,82.92,7.72
kjopsvik,75,no,93,68.1,16.37,46.4,3.36
arraial do cabo,0,br,65,-22.97,-42.02,75.06,5.82
semnan,0,ir,50,35.58,53.39,68.97,7.05
yamada,40,jp,56,36.58,137.08,72.37,6.93
zhigansk,68,ru,88,66.77,123.37,62.67,3.02
college,36,us,36,64.86,-147.8,65.03,8.05
tigil,0,ru,68,57.8,158.67,66.81,5.59
wamba,32,cd,96,2.14,27.99,66.36,2.13
oshnaviyeh,0,ir,49,37.04,45.1,69.8,9.17
havelock,90,us,78,34.88,-76.9,81.25,6.93
hilo,75,us,78,19.71,-155.08,78.8,3.36
kapaa,90,us,69,22.08,-159.32,82.4,14.99
busselton,0,au,100,-33.64,115.35,58.08,15.79
mar del plata,0,ar,64,-46.43,-67.52,41.88,14.09
khatanga,20,ru,82,71.98,102.47,50.16,13.87
tuy hoa,12,vn,91,13.08,109.3,80.67,8.72
rudnogorsk,0,ru,62,57.27,103.75,65.64,4.7
madera,1,us,20,36.96,-120.06,99.32,11.41
decatur,40,us,94,35.51,-84.79,72.84,4.7
zhangjiakou,76,cn,57,40.77,114.88,74.01,3.69
vardo,40,no,74,39.62,-77.74,81.82,4.7
grootfontein,0,na,66,-19.56,18.1,38.28,2.91
chokurdakh,44,ru,81,70.62,147.9,50.16,14.65
iqaluit,75,ca,75,63.75,-68.52,41.0,20.8
cape town,0,za,93,-33.93,18.42,50.0,3.36
codrington,0,ag,81,-28.95,153.24,56.28,4.25
roald,75,no,100,62.58,6.12,53.71,17.22
djougou,20,bj,94,9.71,1.67,75.2,5.14
matara,0,lk,66,-13.74,-72.9,39.54,1.9
port elizabeth,1,za,69,39.31,-74.98,84.85,4.7
saint anthony,1,ca,37,43.97,-111.68,69.19,5.82
anadyr,75,ru,66,64.73,177.51,50.0,8.95
saint george,75,bm,82,39.45,22.34,66.2,3.36
norman wells,90,ca,76,65.28,-126.83,48.2,11.41
severo-kurilsk,12,ru,93,50.68,156.12,47.73,4.92
fuxin,92,cn,47,42.02,121.65,81.57,11.41
ontario,1,us,35,34.07,-117.65,77.07,16.11
punta arenas,20,cl,100,-53.16,-70.91,33.8,11.41
komsomolskiy,20,ru,66,67.55,63.78,48.54,5.59
shingu,0,jp,92,33.72,135.99,75.45,4.14
